variant,profile,run_id,is_warmup,samples_total,samples_success,samples_failed,duration_s,throughput_rps,http_mean_ms,http_median_ms,http_p95_ms,http_p99_ms,app_n,app_mean_ms,app_median_ms,app_p95_ms,app_p99_ms,submitted_n,classified_n,failed_n,swept_n,pairing_loss_pct
e-async,baseline,baseline_m1,False,201,201,0,2.28,88.15789473684211,8.686567164179104,8.0,12.0,25.0,400,15.585,16.0,17.0,18.029999999999973,400,400,0,0,0.0
e-async,baseline,baseline_m2,False,201,201,0,2.382,84.38287153652392,9.024875621890548,8.0,13.0,24.0,400,16.1,16.0,18.0,29.039999999999964,400,400,0,0,0.0
e-async,baseline,baseline_m3,False,201,201,0,2.388,84.17085427135679,9.199004975124378,8.0,13.0,30.0,200,16.39,16.0,19.0,27.059999999999945,200,200,0,0,0.0
e-async,baseline,baseline_m4,False,201,201,0,2.52,79.76190476190476,9.572139303482587,8.0,14.0,31.0,200,16.85,16.0,19.049999999999983,28.1099999999999,200,200,0,0,0.0
e-async,baseline,baseline_m5,False,201,201,0,2.268,88.62433862433863,8.711442786069652,8.0,13.0,16.0,200,15.54,16.0,17.0,22.019999999999982,200,200,0,0,0.0
e-async,baseline,baseline_warmup,True,201,201,0,2.381,84.41831163376733,9.099502487562189,8.0,13.0,25.0,400,16.4425,16.0,21.0,34.01999999999998,400,400,0,0,0.0
e-async,high,high_m1,False,55235,55235,0,60.397,914.5321787506002,19.857047162125465,19.0,33.0,42.0,5455,2781.642529789184,2984.0,3596.3,3821.46,55234,5455,49779,0,0.0
e-async,high,high_m2,False,55006,55006,0,60.405,910.619981789587,19.930425771733994,19.0,33.0,46.0,5418,2795.496493170912,2952.0,3917.1499999999996,4145.83,55005,5418,49587,0,0.0
e-async,high,high_m3,False,53503,53503,0,60.387,886.0019540629605,20.498196362820778,20.0,34.0,43.0,5307,2918.67891464104,3022.0,3897.1999999999953,4350.94,53502,5307,48195,0,0.0
e-async,high,high_m4,False,53147,53147,0,60.399,879.9317869501151,20.62895365683858,20.0,35.0,45.0,5409,2795.429469402847,3028.0,3689.399999999998,4144.84,53146,5409,47737,0,0.0
e-async,high,high_m5,False,50286,50286,0,60.409,832.4256319422602,21.80151533229925,21.0,37.0,48.0,5122,2977.790511518938,3187.0,3623.0,4105.79,50285,5122,45163,0,0.0
e-async,high,high_warmup,True,54023,54023,0,60.385,894.6427092821065,20.300575680728578,19.0,35.0,45.0,5316,2873.2898796087284,3048.0,3978.25,4438.85,54022,5316,48706,0,0.0
e-async,moderate,moderate_m1,False,5207,5207,0,60.46,86.12305656632485,6.93739197234492,6.0,13.0,24.9399999999996,5206,17.515366884364195,17.0,23.75,36.0,5206,5206,0,0,0.0
e-async,moderate,moderate_m2,False,5198,5198,0,60.426,86.02257306457484,7.024817237399,6.0,12.0,21.0,5197,17.854723879161053,17.0,23.0,35.0,5197,5197,0,0,0.0
e-async,moderate,moderate_m3,False,5199,5199,0,60.416,86.05336334745763,7.19311406039623,6.0,13.0,24.0,5198,18.58310888803386,18.0,26.0,43.0,5198,5198,0,0,0.0
e-async,moderate,moderate_m4,False,5196,5196,0,60.383,86.05070963681831,7.055619707467282,6.0,13.0,23.0,5195,17.928392685274304,17.0,24.0,35.0600000000004,5195,5195,0,0,0.0
e-async,moderate,moderate_m5,False,5208,5208,0,60.403,86.22088306872175,6.853302611367128,6.0,12.0,21.0,5207,18.401382753985022,17.0,24.0,51.9399999999996,5207,5207,0,0,0.0
e-async,moderate,moderate_warmup,True,5190,5190,0,60.386,85.94707382505878,7.166859344894027,6.0,12.0,21.0,5189,18.29755251493544,18.0,24.0,36.11999999999989,5189,5189,0,0,0.0
e-sync,baseline,baseline_m1,False,201,201,0,4.527,44.40026507620941,20.19402985074627,20.0,22.0,27.0,200,9.16,9.0,10.0,10.0,200,200,0,0,0.0
e-sync,baseline,baseline_m2,False,201,201,0,4.469,44.976504810919664,19.761194029850746,19.0,23.0,25.0,200,9.11,9.0,10.0,10.009999999999991,200,200,0,0,0.0
