variant,profile,runs_aggregated,selected_run_id,headline_source,mean_ms,median_ms,p95_ms,p99_ms,throughput_rps,samples_success,samples_failed,pairing_loss_pct
e-async,baseline,5,m3,app,1465.69671821954,84.5,3593.0,3784.0,85.71428571428571,201,0,0.0
e-async,high,5,m3,app,1465.69671821954,84.5,3593.0,3784.0,767.1681811410696,46350,0,0.0
e-async,moderate,5,m3,app,1465.69671821954,84.5,3593.0,3784.0,85.4679639925867,5165,0,0.0
e-sync,baseline,5,m1,http,24.567164179104477,23.0,31.0,44.0,36.74588665447898,201,0,0.0
e-sync,high,5,m3,http,111.59661394971614,111.0,174.0,214.3700000000008,163.3355963636966,9864,0,0.0
e-sync,moderate,5,m2,http,48.26241699867198,48.0,70.0,111.0,62.33134115855173,3765,0,0.0
s-async,baseline,5,m2,app,14839.527708258849,14481.0,30993.0,33967.96,63.04893350062735,201,0,-15.662926898108948
s-async,high,5,m2,app,14839.527708258849,14481.0,30993.0,33967.96,852.3412337930465,51605,0,-15.662926898108948
s-async,moderate,5,m2,app,14839.527708258849,14481.0,30993.0,33967.96,80.92035515504902,4885,0,-15.662926898108948
s-sync,baseline,5,m3,http,91.83582089552239,91.0,98.0,118.0,10.602943503718942,201,0,0.0
s-sync,high,5,m2,http,681.7289872898729,728.0,781.0,1174.2399999999998,40.4430663107102,2439,0,0.0
s-sync,moderate,5,m2,http,146.1382149046794,142.0,185.6500000000001,223.92999999999984,38.176525076088396,2308,0,0.0
x-async,baseline,5,m3,app,,,,,93.79374708352778,201,0,0.0
x-async,high,5,m3,app,,,,,1273.2645729516746,76909,0,0.0
x-async,moderate,5,m3,app,,,,,78.11387605755063,4718,0,0.0
x-sync,baseline,5,m3,http,177.1492537313433,176.0,198.0,226.0,5.5511060785992425,201,0,0.0
x-sync,high,5,m4,http,157.951198630137,154.0,168.0,252.5799999999972,58.071893800029834,3504,0,0.0
x-sync,moderate,5,m5,http,171.1478048780488,170.0,189.0,200.51,34.00345010615712,2050,0,0.0
